title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
The Last Snows of A Warming World,Andrew Fedynak,false,"6 x 8 Inches 66 Color Photographs 144 Pages + Cover PUR Bound Zatara Press ISBN: 978-1-7338406-6-8 Trade Edition: 200 Copies

Shot in the cold over 6 years utilizing expired  2018 Polaroid Originals Color 600 Film Tropics Edition , this project parallels the ever-increasing rareness of experiencing snow in the American South due to the ongoing effects of Climate Change, through the intentional use of the film’s tropical bordered frames.

This publication benefits from the  2024 SFABF Publication Grant  supported by  Edition One Books .

 Epilogue 

We are imperfect beings

Created by other imperfect beings

There used to be more snow here

Now it only happens once or twice a season

Our hardiness zone has shifted

A new epoch is upon us

The photographs are imperfect too

Much the same as I am

 -AFF",https://zatarapress.com/wp-content/uploads/2025/09/LASTSNOW_1_1.jpg,https://zatarapress.com/wp-content/uploads/2025/09/LASTSNOW_POLA_8.jpg|https://zatarapress.com/wp-content/uploads/2025/09/LASTSNOW_1_2.jpg|https://zatarapress.com/wp-content/uploads/2025/09/LASTSNOW_POLA_47.jpg|https://zatarapress.com/wp-content/uploads/2025/09/LASTSNOW_1_4.jpg|https://zatarapress.com/wp-content/uploads/2025/09/LASTSNOW_POLA_1.jpg,sold-out,https://zatarapress.com/product/the-last-snows/
The Grove,John Sanderson,false,"7 x 7 inches 25 B+W Photographs 54 Pages Metal Spiral Hardcover Zatara Press 2024 ISBN: 978-1-7338406-5-1 Trade Edition: 200

While exploring the Wyoming landscape featured in his   Carbon   County   project,  John Sanderson  discovers an isolated hilltop of ancient trees and rocks, documented in this sidequel book,   The Grove  . Sanderson seeks solace in these forms of nature by searching the land for an understanding of what this place means in context to his own personal being.  The images are presented in a stark B+W photography style, in contrast with the formal color photography of  Carbon   County .  Moved by this life-changing experience, Sanderson has channeled a 25-quatrain companion poem, to try to come to terms with these feelings and expand beyond photography’s limitations as a medium.
 

  John Sanderson   is drawn to broad topographical subjects within the United States of America.  It is there in the outdoors he feels most creative.  His photographs reconcile American motives of impermanence, and expansion within the contemporary landscape.  His projects include themes such as transportation, leisure, residence, industry, and decay.  The influence of growing up in New York City’s Midtown Manhattan underpins much of Sanderson’s work which is rooted in a passion for architectural design.  He captures photographs for each project with multiple large format film cameras as well as smaller digital cameras as needed for commercial clients.  Sanderson’s photographs have been featured in a variety of publications such as: Slate Magazine, BBC News, The Wall Street Journal, and NBC News.   Fallen Flags  , and   Railroad Landscapes   have both been the subject of several solo and group exhibitions.  In 2017, he published   National Character  , a Monthly Monograph Magazine, by Subjectively, Objective.  His work resides in a number of private and public collections including the Metropolitan Transportation Authority, New York Transit Museum, NTR Partners, and the Center for Railroad Photography & Art.",https://zatarapress.com/wp-content/uploads/2024/09/ZP_GROVE_3_1.jpg,https://zatarapress.com/wp-content/uploads/2024/09/ZP_GROVE_3_2.jpg|https://zatarapress.com/wp-content/uploads/2024/09/ZP_GROVE_3_35.jpg|https://zatarapress.com/wp-content/uploads/2024/09/ZP_GROVE_3_34.jpg|https://zatarapress.com/wp-content/uploads/2024/09/ZP_GROVE_3_4.jpg|https://zatarapress.com/wp-content/uploads/2024/09/ZP_GROVE_3_11.jpg,sold-out,https://zatarapress.com/product/the-grove/
The Cedar Lodge,Maya Meissner,false,"170 x 250 mm or 6.75 x 9.8 inches 80 B+W and Color Images 154 pages + Cover with Essay Booklet Hardcover Zatara Press 2024 ISBN: 978-1-7338406-4-4 Trade Edition: 300 Copies

Maya Meissner’s  The Cedar Lodge  tells a disturbing dream-like story of her family’s close encounter with the Yosemite Killer in the late 1990s.  The project consists of artistic photographic materials from a variety of sources, such as collages, photographs taken as a teenager, altered family snapshots, and additional new photographs made in and around the hotel where the events happened.  Through these varied perspectives, Meissner investigates her discomfort, grief, confusion, and separation from the twist of fate that intertwined her with these events.

Design by  Lorenzo Fanton 
 

 Maya Meissner  is an artist living in New York working within the mediums of photography, collage, installation, books, and performance.  Her work often deals with personal histories relating to family, landscape, and the explicit relationship of the photograph as evidence.  She received her BFA in Photography from the School of Visual Arts, and was honored with the Rhodes Family Award for Outstanding Achievement in Photography.  Meissner’s book dummy for  The Cedar Lodge  won a FUAM Dummy Book Award Special Prize at the 2018 Istanbul Photobook Festival, and 2nd place in the 2018 Cosmos-Arles PDF Award.  It was also short listed as a finalist in competitions for the Unseen Dummy Award, Cortona on the Move Photobook Prize, Singapore International Photography Festival, and Fiebre Photobook Festival.  In 2019, Meissner was selected as a Photolucida Critical Mass Top 50 Finalist.  Her art and photography have been exhibited in galleries and festivals around the world.",https://zatarapress.com/wp-content/uploads/2022/05/ZP_CEDAR_2_1.jpg,https://zatarapress.com/wp-content/uploads/2022/05/ZP_CEDAR_2_2.jpg|https://zatarapress.com/wp-content/uploads/2022/05/ZP_CEDAR_2_98.jpg|https://zatarapress.com/wp-content/uploads/2022/05/ZP_CEDAR_2_99.jpg|https://zatarapress.com/wp-content/uploads/2022/05/ZP_CEDAR_IMAGE_-1.jpg|https://zatarapress.com/wp-content/uploads/2022/05/ZP_CEDAR_2_18.jpg,sold-out,https://zatarapress.com/product/the-cedar-lodge/
Zero Line Boundary,Robert Lyons,false,"23 x 26 mm or 9 x 10.2 inches 48 B+W Photographs 96 Pages + Dust Jacket Smyth-Sewn Softcover Zatara Press 2022 ISBN: 978-1-7338406-3-7 Trade Edition: 300

Zero Line Boundary   is a mediation and discourse on the 49th parallel – the International Border between the United States of America and Canada, the longest continuous border in the world between two countries.  It is a liminal space that is rarely addressed when one thinks of the United States’ borders.  Over a multi-year period  Robert Lyons  traveled to areas in Vermont, New York, Washington, Quebec and British Columbia to investigate the people and the surrounding lands.

The short story  “Many Metaphors Ferried Across the Border”  by Nigerian writer   Emmanuel Iduma   accompanies the photographs in an allegorical approach.  The story and photographs together invite the reader to consider and ponder ideas of identity, nation state, and what it means to call a location (country) home.
 

 Robert Lyons  lives and works in Portland, Oregon.  He has taught extensively in the USA and Europe at various institutions including: Emily Carr College of Art & Design, University of Washington, Photographic Center Northwest, International Center of Photography, and the Ostkreuzschule in Berlin. Lyons received his BA in Photography from Hampshire College (Amherst, MA) and his MFA from Yale University.  His work has been shown internationally for over 40 years, including exhibitions at the De Cordova Museum and Sculpture Park (Lincoln, MA), Nelson-Atkins Museum of Art, (Kansas City, MO), Henry Art Gallery (Seattle, WA), and the Seattle Art Museum (Seattle, WA). Among the permanent collections in which he is included are the Metropolitan Museum of Art (New York, NY), Portland Art Museum (Portland, OR), Seattle Art Museum (Seattle, WA), and Henry Art Gallery (Seattle, WA).  His published books include:   Egyptian Time  , Doubleday – 1992,   Another Africa  , Bantam Dell Doubleday – 1998,   The Company of Another  , Galerie Michael Schultz Berlin – 2003,   Intimate Enemy: Voices and Images from the Rwandan Genocide  , Zone Books –2006,   One Eye Crying  , Roman Nvmerals – 2016-18,   Pictures From the Next Day  , Zatara Press – 2017,   Rubber Soul  , Roman Nvmerals – 2021,   A Whisper that Falls Shy of a Voice  , Roman Nvmerals – 2021.  He is the Founder and Director of  The Hartford Art School International Limited Residency MFA Program  at the University of Hartford.",https://zatarapress.com/wp-content/uploads/2022/11/ZP_ZLB_2_1.jpg,https://zatarapress.com/wp-content/uploads/2022/11/ZLB_16.jpg|https://zatarapress.com/wp-content/uploads/2022/11/ZLB_17.jpg|https://zatarapress.com/wp-content/uploads/2022/11/ZLB_20.jpg|https://zatarapress.com/wp-content/uploads/2022/11/ZLB_1-1.jpg|https://zatarapress.com/wp-content/uploads/2022/11/ZLB_3-2.jpg,sold-out,https://zatarapress.com/product/zero-line-boundary/
Six Cinder Blocks on Top of a Wall,Justin Fiset,false,"200 x 230 mm or 7.9 x 9 inches 66 Color Photographs 96 Pages + Cover Softcover PUR Bound Zatara Press 2021 ISBN: 978-1-7338406-2-0 Trade Edition: 300 Signed Copies and Unsigned Copies are SOLD OUT AT THE PUBLISHER Copies are still available from the photographer’s website linked above.

Alleyways occupy a unique position in the urban landscape.  Neither entirely public nor private, conceptually they are non-places, often without names and left off of maps.  They are the negative space of cities, used to discard or store what can’t be left in front.  The spaces are largely accidental and unconsidered, literally the backs of walls, fences, and buildings.  The aesthetic quality of alleys is the product of overlapping individual interests, indifferences, and happenstances.  It is an architecture that is not designed to be seen.  Acutely mindful of this, the project does not really show empty tableaus, but it instead renders the alleyways of West Los Angeles as an animated presence.  The viewer is made aware of the gravity of these simple arrangements by the project’s use of warm colors and quiet compositions that render each layered visual as a part of the residents’ successive quotidian lives.  It is an empty space that is still full of life, and usefulness.
 

  Justin Fiset’s   photographic work often involves the narrative capacities of inhabited spaces.  Focusing on the details of unpeopled landscapes, he attempts to contextualize the otherwise banal elements of everyday life in order to highlight the complex relationships that exist between these spaces, the people who use them, and the inscribed histories that can be observed.  Drawing inspiration from his love of literature, Fiset attempts to imbue in his photographs the compression of a short story and the rhythm of a poem.  In past projects he has employed found photographs to examine themes related to the limitations of language and the construction of personal narratives.  Fiset studied photography at the University of New Mexico, and since 2007 he has worked as an advisor and appraiser with collectors of fine art photography.  His photographs have been shown nationally in venues such as The Center for Fine Art Photography and the Rhode Island School of Design Museum, as well as being published internationally in publications such as  Der Greif ,  Ena Rolla Filma , and  The Photo Review .  Raised in West Virginia and New Mexico, Fiset currently resides in Los Angeles, California, with his partner and their dog, Ned.",https://zatarapress.com/wp-content/uploads/2021/02/ZP_SixCinderProduct_1.jpg,https://zatarapress.com/wp-content/uploads/2021/02/ZP_SixCinderProduct_2.jpg|https://zatarapress.com/wp-content/uploads/2021/02/ZP_SixCinderProduct_6.jpg|https://zatarapress.com/wp-content/uploads/2021/02/ZP_SixCinderPromo_6.jpg|https://zatarapress.com/wp-content/uploads/2021/02/ZP_SixCinderPromo_1.jpg|https://zatarapress.com/wp-content/uploads/2021/02/ZP_SixCinderProduct_9.jpg,sold-out,https://zatarapress.com/product/sixcinderblocks/
Then and There: Mardi Gras 1979,Harvey Stein,false,"183 x 220 mm or 7.2 x 8.7 inches 47 Color Photographs 88 Pages + Cover Hardcover Zatara Press 2020 ISBN: 978-1-7338406-1-3 Trade Edition: 400 Copies SOLD OUT

Man is least himself when he talks in his own person.

Give him a mask, and he will tell you the truth.

-Oscar Wilde

In  Then and There , the well-known photographer  Harvey Stein  documents a crucial aspect of public behavior at the 1979 New Orleans Mardi Gras.  Shooting with an instant SX-70 Polaroid camera, the process allowed Stein to directly interact with his subjects, who perform, observe, and even share in the photographic process.  The 47 portraits are made just feet away from each person, mostly at dusk, sharply revealed by the light of the camera’s flash bar.  His subjects creatively present themselves in diverse colorful masks, makeup, and revelry.  Each portrait is a glimpse into a layered and hidden personal identity made possible by the collaborative choices of the photographer and the subjects acting in front of the camera.  The raw excitement of Mardi Gras flows through each portrait with the people physically filling the entire frame of the Polaroid as if the print itself were a stage just for them.  Mardi Gras allows both the subject and the photographer a moment of freedom to observe a transformation into another reality of being.  Stein investigates these many themes throughout the book, and captures those flamboyant moments of lightning in a bottle with each Polaroid.

Essay by Joanna Madloch
 

 Harvey Stein  has had a wide-ranging career as an engaged photographer working in the documentary tradition, utilizing the medium to create photographs that capture the spirit and vitality of the people and places he depicts.  His prime focus is to relate to his fellow human beings in intense and close-up images.  Through enduring documentary investigations of groups as varied as identical twins, Coney Island people, the street life of Harlem, artists in their studios, people living with AIDS, and life and death in Mexico, his projects have resulted in compelling and evocative in-depth photobooks that help illuminate the human condition and reveal his commitment to building connections through photography.  Among Stein’s nine published books are   Parallels: A Look at Twins   (1978),   Coney Island 40 Years   (2011), and   Mexico Between Life and Death   (2018).  Stein’s photographs are in over 60 museum and corporate collections; he has had 88 one-person exhibits.  He currently teaches at the International Center of Photography in New York City and conducts workshops worldwide.  His website is  harveysteinphoto.com ; Instagram  @stein.harvey .

All Photographs © Harvey Stein 2020",https://zatarapress.com/wp-content/uploads/2020/02/ZPProduct_3.jpg,https://zatarapress.com/wp-content/uploads/2020/02/ZPProduct_4.jpg|https://zatarapress.com/wp-content/uploads/2020/02/ZPProduct_1.jpg|https://zatarapress.com/wp-content/uploads/2020/02/ZPProduct_2.jpg|https://zatarapress.com/wp-content/uploads/2020/02/ZP_STEIN_THENTHERE_1.jpg|https://zatarapress.com/wp-content/uploads/2020/02/ZP_THENTHERE_11.jpg,sold-out,https://zatarapress.com/product/thenandthere/
Carbon County Booklet,John Sanderson,false,"John SandersonHERE

In  Carbon County ,  John Sanderson  traces an existential journey through the present day American West. Set among Wyoming’s windswept high plains and distant horizons, this folio box of 24 tipped in photographs reveals a counterpoint between natural grandeur and human ambition. Inspired from Edgar Lee Masters’  Spoon River Anthology , and Thornton Wilder’s  Our Town , Sanderson envisions a mysterious county abound with adventure, hope, love, and wanderlust. This is the land of the Noble Cowboy which is today contrasted against a contemporary landscape drained of its natural resources. Once this was the home to the Buffalo. Instead it now contains a bypassed space that is set apart, and left alone. What remains is a new breed of people influenced by these ideals of the past, while attempting to create a life with the remainders of this land. Sanderson shows this unyielding spirit of Wyoming and its culture to endure and prosper.

Folio Box by Designer  Christine Marie Rucker 

Letterpress Printing by   Horse & Buggy Press 

 Laser Burning by  K  ugo Laser 
 

  John Sanderson   is drawn to broad topographical subjects within the United States of America.  It is there in the outdoors he feels most creative.  His photographs reconcile American motives of impermanence, and expansion within the contemporary landscape.  His projects include themes such as transportation, leisure, residence, industry, and decay.  The influence of growing up in New York City’s Midtown Manhattan underpins much of Sanderson’s work which is rooted in a passion for architectural design.  He captures photographs for each project with multiple large format film cameras as well as smaller digital cameras as needed for commercial clients.  Sanderson’s photographs have been featured in a variety of publications such as: Slate Magazine, BBC News, The Wall Street Journal, and NBC News.   Fallen Flags  , and   Railroad Landscapes   have both been the subject of several solo and group exhibitions.  In 2017, he published   National Character  , a Monthly Monograph Magazine, by Subjectively, Objective.  His work resides in a number of private and public collections including the Metropolitan Transportation Authority, New York Transit Museum, NTR Partners, and the Center for Railroad Photography & Art.",https://zatarapress.com/wp-content/uploads/2019/06/CCBooklet_PRWEB_2.jpg,https://zatarapress.com/wp-content/uploads/2019/06/CCBooklet_PRWEB_6.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBooklet_PRWEB_7.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBooklet_PRWEB_8.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBooklet_PRWEB_11.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBooklet_PRWEB_12.jpg,sold-out,https://zatarapress.com/product/carbon-county-folio-booklet/
Carbon County Folio Box with Booklet,John Sanderson,false,"John Sandersonhere

In  Carbon County ,  John Sanderson  traces an existential journey through the present day American West. Set among Wyoming’s windswept high plains and distant horizons, this folio box of 24 tipped in photographs reveals a counterpoint between natural grandeur and human ambition. Inspired from Edgar Lee Masters’  Spoon River Anthology , and Thornton Wilder’s  Our Town , Sanderson envisions a mysterious county abound with adventure, hope, love, and wanderlust. This is the land of the Noble Cowboy which is today contrasted against a contemporary landscape drained of its natural resources. Once this was the home to the Buffalo. Instead it now contains a bypassed space that is set apart, and left alone. What remains is a new breed of people influenced by these ideals of the past, while attempting to create a life with the remainders of this land. Sanderson shows this unyielding spirit of Wyoming and its culture to endure and prosper.

Folio Box by Designer  Christine Marie Rucker 

Letterpress Printing by   Horse & Buggy Press 

 Laser Burning by  Kugo Laser – Scott Misturini 
 

  John Sanderson   is drawn to broad topographical subjects within the United States of America.  It is there in the outdoors he feels most creative.  His photographs reconcile American motives of impermanence, and expansion within the contemporary landscape.  His projects include themes such as transportation, leisure, residence, industry, and decay.  The influence of growing up in New York City’s Midtown Manhattan underpins much of Sanderson’s work which is rooted in a passion for architectural design.  He captures photographs for each project with multiple large format film cameras as well as smaller digital cameras as needed for commercial clients.  Sanderson’s photographs have been featured in a variety of publications such as: Slate Magazine, BBC News, The Wall Street Journal, and NBC News.   Fallen Flags  , and   Railroad Landscapes   have both been the subject of several solo and group exhibitions.  In 2017, he published   National Character  , a Monthly Monograph Magazine, by Subjectively, Objective.  His work resides in a number of private and public collections including the Metropolitan Transportation Authority, New York Transit Museum, NTR Partners, and the Center for Railroad Photography & Art.",https://zatarapress.com/wp-content/uploads/2019/03/ZP_CC_Web1_1.jpg,https://zatarapress.com/wp-content/uploads/2019/06/CCBox_PRWEB_32.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBox_PRWEB_2.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBox_PRWEB_3.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBox_PRWEB_4.jpg|https://zatarapress.com/wp-content/uploads/2019/06/CCBox_PRWEB_34.jpg,sold-out,https://zatarapress.com/product/carbon-county/
"“I’m Not Here, Calypso.”",Andrew Fedynak,false,"8.5 x 9 Inches 33 B+W + 11 Color Photographs 78 Pages + Cover Custom Printed Tyvek Dust Jacket (Red and Blue Variant) PUR Bound Zatara Press 2019 ISBN: 978–1–7338406–0–6 Edition: 100 copies

A book about a man stuck on an island, and what happens when he becomes lost in another’s embrace.

This book functions as a prequel to   T  he Lig  ht of a Fading Sun  .

 Epilogue 

Gone before I got there

Much like me

Lost in the tides of forward movement

Thought I was somewhere else

What is this place

Stuck in the dark with no windows

Troubled Mind, Tired Body

People who can’t relate

Money Here, Fashion There

Fake, Fake, Fallacy

Much like me

Trying not to be seen

Why was I here again, I’ve forgotten

Sick, Sick, Death

Awaken Sleeper

Time to see beyond concrete trees of elite palisades

Instead, I dream of Peace

Much like me

Silence on a Beach

 -AFF",https://zatarapress.com/wp-content/uploads/2019/08/calypsonew_1.jpg,https://zatarapress.com/wp-content/uploads/2019/08/calypsonew_2.jpg|https://zatarapress.com/wp-content/uploads/2019/08/calypsonew_3.jpg|https://zatarapress.com/wp-content/uploads/2019/08/calypsonew_4.jpg|https://zatarapress.com/wp-content/uploads/2019/08/calypsonew_11.jpg|https://zatarapress.com/wp-content/uploads/2019/08/calypsonew_5.jpg,sold-out,https://zatarapress.com/product/calypso/
Days Before / Days After,Jared Soares,false,"Jared SoaresMatt Eich

Recognized for their intimate photographs of families and character studies of communities across the United States of America, in  Days Before / Days After ,  Jared Soares  and  Matt Eich  describe spaces and objects that are shaped by unseen forces.  As the miasma of social media begins to fracture contemporary society, they find solace in turning their gaze away from the maddening crowd.  Instead the photographers have created a record of these surroundings informed through their own series of quiet observations and meditations culled from years of travels across the nation.  Their project covers themes which speak to a growing disillusionment, a loss of innocence, and a sense of foreboding that allude to the current condition in their backyard.  This is the first collaborative book project for Soares and Eich.
 

 Jared Soares  is a Washington, D.C. based photographer whose work creates a dialogue around community and identity in America.  Through portraiture and long-form essays he examines how groups of individuals relate to each other.  His fine art prints and artist books are held in the permanent collections of the Portland Art Museum, Sloane Art Library at the University of North Carolina, Chapel Hill and the Beinecke Rare Book and Manuscript Library at Yale University.  Soares’s images intimately connect readers with a variety of subjects for clients such as  Bloomberg BusinessWeek ,  The FADER , Microsoft,  Monocle , Nike,  The New Yorker ,  Rolling Stone ,  Smithsonian ,  VICE , and  WIRED .

When not making photographs, Soares can be found playing tennis or walking his pet terrier, Holly.

 Matt Eich  is a photographic essayist working on long-form projects about the American condition.  He studied photojournalism at Ohio University and holds an MFA in Photography from Hartford Art School’s International Limited-Residency Program.  Eich’s work has been widely exhibited and received numerous grants and recognitions including PDN’s 30 Emerging Photographers to Watch, the Joop Swart Masterclass, the F25 Award for Concerned Photography, POYi’s Community Awareness Award, the Aaron Siskind Foundation Fellowship, the VMFA Visual Arts Fellowship, and two Getty Images Grants for Editorial Photography.  He has published many photobooks including,   Carry Me Ohio  ,   I Love You, I am Leaving  ,   Sin & Salvation in Baptist Town  , and   The Seven Cities  .  His fine art prints and books are held in the permanent collections of many institutions such as, The Portland Art Museum, the Museum of Fine Arts Houston, The New York Public Library, and Chrysler Museum of Art.

Eich is currently resides in Charlottesville, Virginia with his wife and two daughters.",https://zatarapress.com/wp-content/uploads/2018/09/dbdaproduct_1.jpg,https://zatarapress.com/wp-content/uploads/2018/11/dbda_product_2.jpg|https://zatarapress.com/wp-content/uploads/2018/11/dbda_product_14.jpg|https://zatarapress.com/wp-content/uploads/2018/11/dbda_product_15.jpg|https://zatarapress.com/wp-content/uploads/2018/11/dbda_product_16.jpg|https://zatarapress.com/wp-content/uploads/2018/11/dbda_product_3.jpg,sold-out,https://zatarapress.com/product/days-before-days-after/
Nothing That Falls Away,Meg Griffiths,false,"Meg GriffithsEliot Dudik

In  Nothing That Falls   Away  photographers  Meg Griffiths  and  Eliot Dudik  present a collaborative series of color photographs representing a psychological and physical exploration of the landscape traveling across Highway 50, a two-lane road which bisects the state of Nevada.

Established along The Pony Express and coined in 1986 by  Life  magazine as “The Loneliest Road in America,” Highway 50 is known for traversing a desolate and sparsely populated stretch of seemingly barren country.

Along this road, Griffiths and Dudik explore love and loss, longing and wanderlust—those spaces we inhabit where things are often unclear.  Through imagery and poetic prose, they poignantly direct our attention to the complication of personal relationships, the yearning for connection and the desire for autonomy at a moment of intersection in their individual lives.
 

 Meg Griffiths ’ photographic work deals with domestic, economic, historical and cultural relationships across the United States and Cuba.  She is a Texas raised and based artist and educator teaching at Texas Woman’s University.  She was honored with the 2017 Julia Margaret Cameron Award for best series in fine art photography, selected as one of Atlanta Celebrates Photography’s Ones to Watch, and named PDN 30’s: New and Emerging Photographers.  Her work has been shown internationally, including: Atlanta Biennial, Chaing Mai Photo Festival, Columbia Museum of Art, Hathaway Contemporary Gallery, Center for Fine Art Photography, Griffin Museum, Houston Center for Photography, and Candela Gallery.  Griffiths’ also been published in  Fisheye (FR) ,  Oxford American ,  Boston Globe , as well as  Photo District News .  Her   work is a part of many private collections as well as the Capitol One Collection, Museum of Fine Arts,   Houston, the Center for Fine Art Photography, Middle Tennessee University and Washington and Lee University.

The photographic art works and books by  Eliot Dudik  are found in institutional and private collections across the globe.  His work explores the connection between culture, place, and history, while trying to understand the human condition.  His first monograph,   Road Ends in Water  , was published in 2010.  In 2012, Dudik was named one of PDN’s 30 New and Emerging Photographers to Watch and one of Oxford American Magazine’s 100 New Superstars of Southern Art.  He was awarded the PhotoNOLA Review Prize in 2014 for his  Broken   Land  and  Still Lives  portfolio.  Dudik’s photographs have been published in Smithsonian Magazine, New York Times, CNN, Oxford American Magazine among others.  His photographs have been installed in solo and group exhibitions across the world including by not limited to the Griffin Museum of Photography, Dishman Art Museum, Morris Museum of Art, Masur Museum of Art, Muscarelle Museum of Art, Cassilhaus, Annenberg Space for Photography, Columbia Museum of Art, Southeast Museum of Photography, and at the Chiang Mai Photo Festival.  He has published a number of books and has given over 40 lectures and workshops across the United States.  Dudik founded the photography program within the Department of Art & Art History at the College of William & Mary in 2014, and is currently based outside of Richmond, Virginia where he lives and continues to teach at the College.",https://zatarapress.com/wp-content/uploads/2018/03/nothingproductnew_1_1.jpg,https://zatarapress.com/wp-content/uploads/2018/11/nothingproductnew_2.jpg|https://zatarapress.com/wp-content/uploads/2018/11/nothing_product_3.jpg|https://zatarapress.com/wp-content/uploads/2018/11/nothing_product_4.jpg|https://zatarapress.com/wp-content/uploads/2018/11/nothing_product_5.jpg|https://zatarapress.com/wp-content/uploads/2018/11/nothing_product_7.jpg,sold-out,https://zatarapress.com/product/nothing-that-falls-away/
Everglades Limited Collector’s Edition Box with Print,Lisa Elmaleh,false,"12.75 x 12.75 Inches 1 Hand Crafted Oak Box 1 Silver Gelatin Signed and Numbered Print 1 Everglades Signed Trade Edition Book Zatara Press 2017 Edition: 10

Lisa Elmaleh’s  Everglades Limited Collector’s Edition Box , an edition of 10, includes a signed copy of   Everglades  , and an 8″x10” silver gelatin contact print hand-printed by Elmaleh.  This collaborative project has brought together Richmond, Virginia artisans,  Kugo Laser  (wood burning and laser engraving) and  Zietz Furniture  (design and fine wood working) to create an exquisite presentation box worthy of the photobook inside.  The box reflects the artistic aesthetic of  Everglades  with unbleached canvas, unstained oak wood, and a minimal design.  Inside the box, the silver gelatin print is presented in clear archival mylar that is held by two Deardorff ground glass clips – a nod to Elmaleh’s own large format camera.  Each box has unique variations in the wood grain indicative of the hand-made process, and each of the 10 silver gelatin prints presents a different image from the book.
 

 Lisa Elmaleh ’s work is an exploration of rural America.  Using a portable darkroom in the back of her truck, Elmaleh photographs using the nineteenth century wet plate collodion process.  Elmaleh is a West Virginia based photographer and educator, teaching at the School of Visual Arts and the Penumbra Foundation in New York City.  She has been awarded the Aaron Siskind Foundation IPF Grant, PDN’s 30, the Ruth and Harold Chenven Foundation Grant, the Tierney Fellowship, and The Everglades National Park Artist Residency.  Her work has been exhibited nationally and internationally, most recently featuring her American Folk project as a solo show at the Appalachian Center, Berea College in Kentucky, and her Everglades project in a group show,  Imaging Eden: Photographers Discover the   Everglades  at the Norton Museum.  Elmaleh’s work is in the collection of the Norton Museum, the Ogden Museum, and other private collections.",https://zatarapress.com/wp-content/uploads/2018/06/EvergladesBoxWebsite_1.jpg,https://zatarapress.com/wp-content/uploads/2018/06/EvergladesBoxWebsite_2.jpg|https://zatarapress.com/wp-content/uploads/2018/06/EvergladesBoxWebsite_3.jpg|https://zatarapress.com/wp-content/uploads/2018/06/EvergladesBoxWebsite_7.jpg|https://zatarapress.com/wp-content/uploads/2018/06/EvergladesBoxWebsite_8.jpg|https://zatarapress.com/wp-content/uploads/2018/06/EvergladesBoxWebsite_6.jpg,sold-out,https://zatarapress.com/product/evergladeslcebox/
Pictures From The Next Day,Robert Lyons,false,"19.3 x 27 Centimeters 29 Color Photographs + Cover Leporello with Opalescent Paper Wrap Around Hardcover Zatara Press 2017 ISBN: 978-0-9903321-6-9 Trade Edition: 250 Copies SOLD OUT

“Known for his complex and rich photographs of Africa and Egypt, in  Pictures From The Next Day ,  Robert Lyons  has created a series about one man, Walter Niemiec.  Walter spent his life in Western Massachusetts in the house where he was born.  His only time away from this one house, a structure that will outlast a lifetime, was as a Navy Radioman during WWII. Through focusing on Walter’s objects and space Lyons presents a discourse on aging, life and the choices within which one exists.  Walter’s surroundings and eccentricities are at once singular and universal.  This book follows Lyons’ first exhibition of his work done in the USA, and the photographs are in a context that is familiar yet also somehow more distant.”
 

 Robert Lyons  lives and works in Portland, Oregon.  He has taught extensively in the USA and Europe at various institutions including: Emily Carr College of Art & Design, University of Washington, Photographic Center Northwest, International Center of Photography, and the Ostkreuzschule in Berlin. Lyons received his BA in Photography from Hampshire College (Amherst, MA) and his MFA from Yale University.  His work has been shown internationally for over 40 years, including exhibitions at the De Cordova Museum and Sculpture Park (Lincoln, MA), Nelson-Atkins Museum of Art, (Kansas City, MO), Henry Art Gallery (Seattle, WA), and the Seattle Art Museum (Seattle, WA). Among the permanent collections in which he is included are the Metropolitan Museum of Art (New York, NY), Portland Art Museum (Portland, OR), Seattle Art Museum (Seattle, WA), and Henry Art Gallery (Seattle, WA).  His published books include:   Egyptian Time  , Doubleday – 1992,   Another Africa  , Bantam Dell Doubleday – 1998,   The Company of Another  , Galerie Michael Schultz Berlin – 2003,   Intimate Enemy: Voices and Images from the Rwandan Genocide  , Zone Books –2006,   One Eye Crying  , Roman Nvmerals – 2016-18,   Pictures From the Next Day  , Zatara Press – 2017,   Rubber Soul  , Roman Nvmerals – 2021,   A Whisper that Falls Shy of a Voice  , Roman Nvmerals – 2021.  He is the Founder and Director of  The Hartford Art School International Limited Residency MFA Program  at the University of Hartford.",https://zatarapress.com/wp-content/uploads/2017/09/pictureswebnew_1-1024x683.jpg,https://zatarapress.com/wp-content/uploads/2017/09/pictureswebnew_1.jpg|https://zatarapress.com/wp-content/uploads/2017/09/pictureswebnew_2.jpg|https://zatarapress.com/wp-content/uploads/2017/09/pictureswebnew_3.jpg|https://zatarapress.com/wp-content/uploads/2017/09/pictureswebnew_5.jpg|https://zatarapress.com/wp-content/uploads/2017/09/pictureswebnew_6.jpg,sold-out,https://zatarapress.com/product/pictures-from-the-next-day/
